Entries: 2  - Hidden layer 1 neurons: 8 - hidden layer 2 neurons: 6 , L:300
Tanh activation function 


 season 1 - square error  : 1369.323853 
 season 64 - square error  :      543.447205 
 season 65 - square error  :      538.197937 
 season 66 - square error  :      533.100647 
 season 67 - square error  :      528.151978 
 season 68 - square error  :      523.346436 
 season 69 - square error  :      518.677124 
 season 70 - square error  :      514.141968 
 season 71 - square error  :      509.736450 
 season 72 - square error  :      505.455048 
 season 73 - square error  :      501.294159 
 season 74 - square error  :      497.251617 
 season 75 - square error  :      493.321899 
 season 76 - square error  :      489.503662 
 season 77 - square error  :      485.792389 
 season 78 - square error  :      482.184662 
 season 79 - square error  :      478.681213 
 season 80 - square error  :      475.275543 
 season 81 - square error  :      471.968384 
 season 82 - square error  :      468.754822 
 season 83 - square error  :      465.634796 
 season 84 - square error  :      462.605408 
 season 85 - square error  :      459.664093 
 season 86 - square error  :      456.808167 
 season 87 - square error  :      454.035797 
 season 88 - square error  :      451.345856 
 season 89 - square error  :      448.735382 
 season 90 - square error  :      446.203033 
 season 91 - square error  :      443.745087 
 season 92 - square error  :      441.359894 
 season 93 - square error  :      439.046356 
 season 94 - square error  :      436.801270 
 season 95 - square error  :      434.622681 
 season 96 - square error  :      432.509644 
 season 97 - square error  :      430.458282 
 season 98 - square error  :      428.467590 
 season 99 - square error  :      426.534973 
 season 100 - square error  :      424.658325 
 season 101 - square error  :      422.836060 
 season 102 - square error  :      421.066071 
 season 103 - square error  :      419.346466 
 season 104 - square error  :      417.676208 
 season 105 - square error  :      416.051727 
 season 106 - square error  :      414.472870 
 season 107 - square error  :      412.937866 
 season 108 - square error  :      411.445221 
 season 109 - square error  :      409.992950 
 season 110 - square error  :      408.579559 
 season 111 - square error  :      407.203308 
 season 112 - square error  :      405.865082 
 season 113 - square error  :      404.561646 
 season 114 - square error  :      403.292603 
 season 115 - square error  :      402.055786 
 season 116 - square error  :      400.851074 
 season 117 - square error  :      399.677551 
 season 118 - square error  :      398.533691 
 season 119 - square error  :      397.419128 
 season 120 - square error  :      396.332275 
 season 121 - square error  :      395.273315 
 season 122 - square error  :      394.238831 
 season 123 - square error  :      393.231110 
 season 124 - square error  :      392.247620 
 season 125 - square error  :      391.288971 
 season 126 - square error  :      390.352417 
 season 127 - square error  :      389.439362 
 season 128 - square error  :      388.547607 
 season 129 - square error  :      387.676849 
 season 130 - square error  :      386.826752 
 season 131 - square error  :      385.996460 
 season 132 - square error  :      385.184418 
 season 133 - square error  :      384.391602 
 season 134 - square error  :      383.615814 
 season 135 - square error  :      382.856873 
 season 136 - square error  :      382.114166 
 season 137 - square error  :      381.387817 
 season 138 - square error  :      380.676086 
 season 139 - square error  :      379.979126 
 season 140 - square error  :      379.294403 
 season 141 - square error  :      378.624207 
 season 142 - square error  :      377.965820 
 season 143 - square error  :      377.318176 
 season 144 - square error  :      376.682404 
 season 145 - square error  :      376.055664 
 season 146 - square error  :      375.439056 
 season 147 - square error  :      374.831238 
 season 148 - square error  :      374.231232 
 season 149 - square error  :      373.638672 
 season 150 - square error  :      373.052155 
 season 151 - square error  :      372.473267 
 season 152 - square error  :      371.898834 
 season 153 - square error  :      371.330444 
 season 154 - square error  :      370.766479 
 season 155 - square error  :      370.207764 
 season 156 - square error  :      369.652802 
 season 157 - square error  :      369.102600 
 season 158 - square error  :      368.558197 
 season 159 - square error  :      368.019836 
 season 160 - square error  :      367.489532 
 season 161 - square error  :      366.967560 
 season 162 - square error  :      366.456909 
 season 163 - square error  :      365.960449 
 season 164 - square error  :      365.483185 
 season 165 - square error  :      365.028259 
 season 166 - square error  :      364.602264 
 season 167 - square error  :      364.211029 
 season 168 - square error  :      363.863739 
 season 169 - square error  :      363.567535 
 season 170 - square error  :      363.331940 
 season 171 - square error  :      363.166840 
 season 172 - square error  :      363.081055 
 season 173 - square error  :      363.084686 
 season 174 - square error  :      363.182953 
 season 175 - square error  :      363.381470 
 season 176 - square error  :      363.681335 
 season 177 - square error  :      364.080383 
 season 178 - square error  :      364.572876 
 season 179 - square error  :      365.147949 
 season 180 - square error  :      365.791962 
 season 181 - square error  :      366.488617 
 season 182 - square error  :      367.221039 
 season 183 - square error  :      367.970734 
 season 184 - square error  :      368.721008 
 season 185 - square error  :      369.456879 
 season 186 - square error  :      370.165680 
 season 187 - square error  :      370.838196 
 season 188 - square error  :      371.467621 
 season 189 - square error  :      372.046906 
 season 190 - square error  :      372.575348 
 season 191 - square error  :      373.051697 
 season 192 - square error  :      373.476715 
 season 193 - square error  :      373.850800 
 season 194 - square error  :      374.177917 
 season 195 - square error  :      374.459747 
 season 196 - square error  :      374.699005 
 season 197 - square error  :      374.898163 
 season 198 - square error  :      375.060669 
 season 199 - square error  :      375.188782 
 season 200 - square error  :      375.285309 
 season 201 - square error  :      375.351349 
 season 202 - square error  :      375.391541 
 season 203 - square error  :      375.403961 
 season 204 - square error  :      375.393890 
 season 205 - square error  :      375.359833 
 season 206 - square error  :      375.305481 
 season 207 - square error  :      375.230865 
 season 208 - square error  :      375.136627 
 season 209 - square error  :      375.024445 
 season 210 - square error  :      374.895203 
 season 211 - square error  :      374.750183 
 season 212 - square error  :      374.588013 
 season 213 - square error  :      374.411804 
 season 214 - square error  :      374.220032 
 season 215 - square error  :      374.014893 
 season 216 - square error  :      373.796844 
 season 217 - square error  :      373.564911 
 season 218 - square error  :      373.320679 
 season 219 - square error  :      373.064636 
 season 220 - square error  :      372.796967 
 season 221 - square error  :      372.518158 
 season 222 - square error  :      372.229034 
 season 223 - square error  :      371.928650 
 season 224 - square error  :      371.619049 
 season 225 - square error  :      371.300079 
 season 226 - square error  :      370.971588 
 season 227 - square error  :      370.634521 
 season 228 - square error  :      370.289032 
 season 229 - square error  :      369.935608 
 season 230 - square error  :      369.574493 
 season 231 - square error  :      369.206268 
 season 232 - square error  :      368.831360 
 season 233 - square error  :      368.450165 
 season 234 - square error  :      368.062836 
 season 235 - square error  :      367.669983 
 season 236 - square error  :      367.272003 
 season 237 - square error  :      366.868652 
 season 238 - square error  :      366.461548 
 season 239 - square error  :      366.049835 
 season 240 - square error  :      365.634338 
 season 241 - square error  :      365.215118 
 season 242 - square error  :      364.793457 
 season 243 - square error  :      364.368622 
 season 244 - square error  :      363.942017 
 season 245 - square error  :      363.512909 
 season 246 - square error  :      363.082245 
 season 247 - square error  :      362.650879 
 season 248 - square error  :      362.217926 
 season 249 - square error  :      361.784668 
 season 250 - square error  :      361.350067 
 season 251 - square error  :      360.917664 
 season 252 - square error  :      360.483337 
 season 253 - square error  :      360.050720 
 season 254 - square error  :      359.618652 
 season 255 - square error  :      359.188446 
 season 256 - square error  :      358.759430 
 season 257 - square error  :      358.331573 
 season 258 - square error  :      357.906342 
 season 259 - square error  :      357.483490 
 season 260 - square error  :      357.062775 
 season 261 - square error  :      356.645386 
 season 262 - square error  :      356.230560 
 season 263 - square error  :      355.819763 
 season 264 - square error  :      355.411530 
 season 265 - square error  :      355.008179 
 season 266 - square error  :      354.607544 
 season 267 - square error  :      354.212311 
 season 268 - square error  :      353.820251 
 season 269 - square error  :      353.433289 
 season 270 - square error  :      353.051208 
 season 271 - square error  :      352.672913 
 season 272 - square error  :      352.301361 
 season 273 - square error  :      351.934113 
 season 274 - square error  :      351.572388 
 season 275 - square error  :      351.216187 
 season 276 - square error  :      350.865082 
 season 277 - square error  :      350.520081 
 season 278 - square error  :      350.181824 
 season 279 - square error  :      349.848541 
 season 280 - square error  :      349.522156 
 season 281 - square error  :      349.200836 
 season 282 - square error  :      348.886414 
 season 283 - square error  :      348.578735 
 season 284 - square error  :      348.277496 
 season 285 - square error  :      347.982483 
 season 286 - square error  :      347.694275 
 season 287 - square error  :      347.412933 
 season 288 - square error  :      347.137482 
 season 289 - square error  :      346.870178 
 season 290 - square error  :      346.607910 
 season 291 - square error  :      346.354218 
 season 292 - square error  :      346.107025 
 season 293 - square error  :      345.866272 
 season 294 - square error  :      345.633728 
 season 295 - square error  :      345.407074 
 season 296 - square error  :      345.187012 
 season 297 - square error  :      344.975708 
 season 298 - square error  :      344.771179 
 season 299 - square error  :      344.572388 
 season 300 - square error  :      344.381073 
 season 301 - square error  :      344.197205 
 season 302 - square error  :      344.020416 
 season 303 - square error  :      343.850250 
 season 304 - square error  :      343.687225 
 season 305 - square error  :      343.531097 
 season 306 - square error  :      343.382446 
 season 307 - square error  :      343.239838 
 season 308 - square error  :      343.104126 
 season 309 - square error  :      342.976135 
 season 310 - square error  :      342.854401 
 season 311 - square error  :      342.740814 
 season 312 - square error  :      342.632385 
 season 313 - square error  :      342.530853 
 season 314 - square error  :      342.436279 
 season 315 - square error  :      342.347321 
 season 316 - square error  :      342.266388 
 season 317 - square error  :      342.190948 
 season 318 - square error  :      342.122345 
 season 319 - square error  :      342.059662 
 season 320 - square error  :      342.003479 
 season 321 - square error  :      341.953033 
 season 322 - square error  :      341.908722 
 season 323 - square error  :      341.871124 
 season 324 - square error  :      341.839111 
 season 325 - square error  :      341.812225 
 season 326 - square error  :      341.791168 
 season 327 - square error  :      341.776215 
 season 328 - square error  :      341.766815 
 season 329 - square error  :      341.763031 
 season 330 - square error  :      341.764282 
 season 331 - square error  :      341.771027 
 season 332 - square error  :      341.782654 
 season 333 - square error  :      341.799561 
 season 334 - square error  :      341.821625 
 season 335 - square error  :      341.847992 
 season 336 - square error  :      341.878845 
 season 337 - square error  :      341.914398 
 season 338 - square error  :      341.955566 
 season 339 - square error  :      341.999969 
 season 340 - square error  :      342.048553 
 season 341 - square error  :      342.102234 
 season 342 - square error  :      342.158661 
 season 343 - square error  :      342.220062 
 season 344 - square error  :      342.284485 
 season 345 - square error  :      342.353424 
 season 346 - square error  :      342.424835 
 season 347 - square error  :      342.500000 
 season 348 - square error  :      342.578491 
 season 349 - square error  :      342.659637 
 season 350 - square error  :      342.744385 
 season 351 - square error  :      342.832062 
 season 352 - square error  :      342.921112 
 season 353 - square error  :      343.013672 
 season 354 - square error  :      343.108765 
 season 355 - square error  :      343.206482 
 season 356 - square error  :      343.306183 
 season 357 - square error  :      343.407898 
 season 358 - square error  :      343.511322 
 season 359 - square error  :      343.616364 
 season 360 - square error  :      343.723877 
 season 361 - square error  :      343.832733 
 season 362 - square error  :      343.943359 
 season 363 - square error  :      344.054108 
 season 364 - square error  :      344.166168 
 season 365 - square error  :      344.281494 
 season 366 - square error  :      344.395996 
 season 367 - square error  :      344.512054 
 season 368 - square error  :      344.629028 
 season 369 - square error  :      344.745880 
 season 370 - square error  :      344.864655 
 season 371 - square error  :      344.982971 
 season 372 - square error  :      345.101898 
 season 373 - square error  :      345.220825 
 season 374 - square error  :      345.340485 
 season 375 - square error  :      345.459442 
 season 376 - square error  :      345.579498 
 season 377 - square error  :      345.698639 
 season 378 - square error  :      345.818481 
 season 379 - square error  :      345.937317 
 season 380 - square error  :      346.057220 
 season 381 - square error  :      346.175293 
 season 382 - square error  :      346.293427 
 season 383 - square error  :      346.410828 
 season 384 - square error  :      346.527588 
 season 385 - square error  :      346.644623 
 season 386 - square error  :      346.759552 
 season 387 - square error  :      346.874786 
 season 388 - square error  :      346.988861 
 season 389 - square error  :      347.101990 
 season 390 - square error  :      347.214020 
 season 391 - square error  :      347.325165 
 season 392 - square error  :      347.435303 
 season 393 - square error  :      347.544373 
 season 394 - square error  :      347.651672 
 season 395 - square error  :      347.757721 
 season 396 - square error  :      347.862427 
 season 397 - square error  :      347.965820 
 season 398 - square error  :      348.067719 
 season 399 - square error  :      348.167725 
 season 400 - square error  :      348.266754 
 season 401 - square error  :      348.363861 
 season 402 - square error  :      348.458954 
 season 403 - square error  :      348.551880 
 season 404 - square error  :      348.643158 
 season 405 - square error  :      348.732758 
 season 406 - square error  :      348.820282 
 season 407 - square error  :      348.905243 
 season 408 - square error  :      348.987579 
 season 409 - square error  :      349.069122 
 season 410 - square error  :      349.146759 
 season 411 - square error  :      349.222717 
 season 412 - square error  :      349.295135 
 season 413 - square error  :      349.365967 
 season 414 - square error  :      349.433563 
 season 415 - square error  :      349.498260 
 season 416 - square error  :      349.560425 
 season 417 - square error  :      349.619598 
 season 418 - square error  :      349.675964 
 season 419 - square error  :      349.728577 
 season 420 - square error  :      349.778442 
 season 421 - square error  :      349.824768 
 season 422 - square error  :      349.868347 
 season 423 - square error  :      349.908264 
 season 424 - square error  :      349.944061 
 season 425 - square error  :      349.976257 
 season 426 - square error  :      350.004944 
 season 427 - square error  :      350.030060 
 season 428 - square error  :      350.051605 
 season 429 - square error  :      350.068665 
 season 430 - square error  :      350.082397 
 season 431 - square error  :      350.091370 
 season 432 - square error  :      350.096649 
 season 433 - square error  :      350.098328 
 season 434 - square error  :      350.094635 
 season 435 - square error  :      350.087250 
 season 436 - square error  :      350.076691 
 season 437 - square error  :      350.060394 
 season 438 - square error  :      350.039948 
 season 439 - square error  :      350.015533 
 season 440 - square error  :      349.986542 
 season 441 - square error  :      349.953400 
 season 442 - square error  :      349.915497 
 season 443 - square error  :      349.872650 
 season 444 - square error  :      349.826324 
 season 445 - square error  :      349.775116 
 season 446 - square error  :      349.719025 
 season 447 - square error  :      349.658905 
 season 448 - square error  :      349.595032 
 season 449 - square error  :      349.526093 
 season 450 - square error  :      349.452850 
 season 451 - square error  :      349.375488 
 season 452 - square error  :      349.293243 
 season 453 - square error  :      349.207520 
 season 454 - square error  :      349.116730 
 season 455 - square error  :      349.022705 
 season 456 - square error  :      348.923431 
 season 457 - square error  :      348.821320 
 season 458 - square error  :      348.714111 
 season 459 - square error  :      348.604248 
 season 460 - square error  :      348.489441 
 season 461 - square error  :      348.371613 
 season 462 - square error  :      348.250000 
 season 463 - square error  :      348.124664 
 season 464 - square error  :      347.995789 
 season 465 - square error  :      347.863892 
 season 466 - square error  :      347.728302 
 season 467 - square error  :      347.589111 
 season 468 - square error  :      347.447235 
 season 469 - square error  :      347.303101 
 season 470 - square error  :      347.155212 
 season 471 - square error  :      347.005005 
 season 472 - square error  :      346.851715 
 season 473 - square error  :      346.695465 
 season 474 - square error  :      346.537476 
 season 475 - square error  :      346.376862 
 season 476 - square error  :      346.214264 
 season 477 - square error  :      346.049408 
 season 478 - square error  :      345.882385 
 season 479 - square error  :      345.713135 
 season 480 - square error  :      345.541962 
 season 481 - square error  :      345.370667 
 season 482 - square error  :      345.196503 
 season 483 - square error  :      345.020935 
 season 484 - square error  :      344.844727 
 season 485 - square error  :      344.667175 
 season 486 - square error  :      344.488373 
 season 487 - square error  :      344.308777 
 season 488 - square error  :      344.128265 
 season 489 - square error  :      343.946686 
 season 490 - square error  :      343.763855 
 season 491 - square error  :      343.581543 
 season 492 - square error  :      343.398682 
 season 493 - square error  :      343.215179 
 season 494 - square error  :      343.032501 
 season 495 - square error  :      342.848724 
 season 496 - square error  :      342.665222 
 season 497 - square error  :      342.481781 
 season 498 - square error  :      342.298950 
 season 499 - square error  :      342.115906 
 season 500 - square error  :      341.932831 
Average Error At Testing: 0.121248 
 Right patterns : 2614, percentage: 87.133333. Wrong patterns : 386, percentage: 12.866667 
